species,count,Type
Spruce,1144,Coniferous
Birch,676,Deciduous
Fir,663,Coniferous
Aspen,598,Deciduous
Tilia,370,Deciduous
Alder,121,Deciduous
Willow,28,Deciduous
Elm,1,Deciduous
Pine,1,Coniferous
